"ID","NTLNLSCOQR","REPDTE"
"18503_19840331",-0.041406548604917826,"19840331"
"18503_19840630",-0.02022480650305317,"19840630"
"18503_19840930",0.8133144266758044,"19840930"
"18503_19841231",-0.013253590894783056,"19841231"
"18503_19850331",-0.01019273367296978,"19850331"
"18503_19850630",0.005649557922092596,"19850630"
"18503_19850930",0.08369815046704222,"19850930"
"18503_19851231",0.4474066131134508,"19851231"
"18503_19860331",0.06316742944317315,"19860331"
"18503_19860630",0.031345096451473875,"19860630"
"18503_19860930",0.041854945079152654,"19860930"
"18503_19861231",0.39371561318739545,"19861231"
"18503_19870331",-0.02142529204713564,"19870331"
"18503_19870630",-0.02982587857781983,"19870630"
"18503_19870930",-0.037915468998980385,"19870930"
"18503_19871231",0.1773467267059231,"19871231"
"18503_19880331",-0.014889445864456412,"19880331"
"18503_19880630",-0.02831130163568545,"19880630"
"18503_19880930",-0.015794565353304684,"19880930"
"18503_19881231",0.34189914821412704,"19881231"
"18503_19890331",0.07504533989285193,"19890331"
"18503_19890630",-0.007268762493185535,"19890630"
"18503_19890930",-0.011512922776111068,"19890930"
"18503_19891231",0.12990472437209677,"19891231"
"18503_19900331",-0.007038579333147397,"19900331"
"18503_19900630",-0.014088203896562394,"19900630"
"18503_19900930",-0.009613643683115076,"19900930"
"18503_19901231",0.17462354538431885,"19901231"
"18503_19910331",0.015291876037936086,"19910331"
"18503_19910630",0.06275404261995111,"19910630"
"18503_19910930",0.2094972563971738,"19910930"
"18503_19911231",0.1819530712703682,"19911231"
"18503_19920331",0.17351355608024868,"19920331"
"18503_19920630",0.04868855033767865,"19920630"
"18503_19920930",0.6893931950583475,"19920930"
"18503_19921231",0.3023623878633482,"19921231"
"18503_19930331",0.31977235253950165,"19930331"
"18503_19930630",0.32862140135072365,"19930630"
"18503_19930930",0.9690184187158051,"19930930"
"18503_19931231",0.5275972628309106,"19931231"
"18503_19940331",0.03855950414313839,"19940331"
"18503_19940630",-0.20344143641567347,"19940630"
"18503_19940930",1.3844406682236603,"19940930"
"18503_19941231",-0.03671022406733087,"19941231"
"18503_19950331",0.6321686992148499,"19950331"
"18503_19950630",0.4102180063238476,"19950630"
"18503_19950930",0.8588829652725717,"19950930"
"18503_19951231",0.8185292065038013,"19951231"
"18503_19960331",0.08313309617504096,"19960331"
"18503_19960630",0.9025485761882276,"19960630"
"18503_19960930",0.11410113891394172,"19960930"
"18503_19961231",0.358221228970957,"19961231"
"18503_19970331",0.003979634881765047,"19970331"
"18503_19970630",0.3386106513161419,"19970630"
